Product_ID,Name,Image,Merchant_ID,Rating,Price
JW000002,Pasta,c43b69e2-3c5d-4a61-a92c-6abad1e1e575.jpg,JW,0.0,17.99
JW000004,Grill Steak,cbd39f56-ea29-4ef8-b4b9-42c8cd9f7eb7.jpg,JW,0.0,25.99
JW000001,Fillet O Fish,8c28ea69-6780-4e04-9ca1-fb1d50c99591.jpg,JW,0.0,18.88
JW000003,Grilled Chicken,da30729e-436f-45b6-9c59-6ebdb4cf18c9.jpg,JW,0.0,17.99
PR000001,Chee Cheong Fun,f4b08183-11f1-43ab-be08-e0603cff0cde.jpg,PR,0.0,5.99
PR000003,Penang Laksa,a7da7602-2227-40e8-9252-933218063333.jpg,PR,0.0,7.99
JW000005,Burger Couple,3efdc2fe-a47a-4aef-9a64-6b7e4ce34a5b.jpg,JW,0.0,25.88
4F000007,Donburi,2495ac7d-e848-4c81-a6d8-aad2aad91e18.jpg,4F,0.0,20.99
4F000005,Tonkatsu Ramen,29eefd00-a135-4da9-822a-53839855ebb5.jpg,4F,0.0,15.99
4F000006,Cute Bento,27a6b763-fe49-4527-a76e-b5c47af0c0d1.jpg,4F,0.0,10.99
