Product_ID,Name,Image,Merchant_ID,Rating,Price
KR000005,KimChi ramyeon,d0aa2f10-653f-4b17-9615-aa85557c2756.jpg,KR,0.0,11.99
KR000007,Dubu Jorim,4e031a40-0757-425a-ab03-bb0ddc3c99ab.jpg,KR,0.0,12.99
MM000003,Nasi Lemak + Ayam Goreng,71a1b79d-f8b7-4853-8ebf-4630dcf4bb14.jpg,MM,0.0,10.90
MM000001,Nasi Lemak,ed5afcc9-bd30-4ca6-9c74-93f5a4f13db8.jpg,MM,0.0,5.99
MM000002,Lemon Tea,c6fd2e3e-706a-4b3f-988d-1f649903cf58.jpg,MM,0.0,2.90
MM000004,Satay,834a1d24-5c67-46f2-b251-5fa0f6bfe01a.jpg,MM,0.0,8.99
MM000006,Laksa,3f570b43-3600-4db4-8c08-044a1a8aa841.jpg,MM,0.0,6.99
KR000006,Gimbap,320b3431-a9d1-4b2b-a23a-1123195350f4.jpg,KR,0.0,5.99
KR000001,Bimbimbap,cd5d648f-d09a-4a8b-b723-d78e642e5a6f.jpg,KR,0.0,20.90
4F000001,Package deals,f4c27c96-78d5-439e-9b63-6728ae2623d1.jpg,4F,0.0,40.99
