Product_ID,Name,Image,Merchant_ID,Rating,Price
PR000004,Rojak,099920ae-584f-477e-ad97-f1aec0419aca.jpg,PR,0.0,5.50
JW000004,Grill Steak,cbd39f56-ea29-4ef8-b4b9-42c8cd9f7eb7.jpg,JW,0.0,25.99
JW000002,Pasta,c43b69e2-3c5d-4a61-a92c-6abad1e1e575.jpg,JW,0.0,17.99
JW000001,Fillet O Fish,8c28ea69-6780-4e04-9ca1-fb1d50c99591.jpg,JW,0.0,18.88
4F000007,Donburi,2495ac7d-e848-4c81-a6d8-aad2aad91e18.jpg,4F,0.0,20.99
4F000003,Omu rice,5f0e886d-7c99-456f-a143-b1380fa2755d.jpg,4F,0.0,13.99
JW000006,Sirloin Steak,57441f21-933c-4372-a205-f835296aa315.jpg,JW,0.0,35.99
4F000002,Sashimi Set,f6288273-7527-4dc9-9a02-97ee50f76b06.jpg,4F,0.0,30.99
4F000004,Oden,43a3c47b-e7c6-4ce3-b0f5-74e87dfa3699.jpg,4F,0.0,20.99
JW000007,Teppanyaki Steak,e96a3bb9-f737-4276-b0aa-52bc4a490b9d.jpg,JW,0.0,26.99
